的	白
阋	儿門
疮	疒卩
桨	爿木
奖	爿大
浆	爿水
资	冫貝
阎	門臼
癣	疒羊
净	冫尹
闹	門
阂	門人
痫	疒門
阅	門儿
阐	門一
阔	門舌
闼	門之
阕	門大
阚	門攵
瘫	疒隹
疡	疒㇆
瘾	疒心
慑	心耳
愤	心十
懒	心木
恹	心犬
郑	䒑阝
烧	空火
怄	心乂
惭	心斤
兑	八儿
兽	八口
惧	心廾
恺	心己
烨	火十
烃	火工
烁	火木
焕	火大
恼	心凵
悯	心文
焖	火門
悦	心儿
惮	心一
恽	心車
烬	火冫
炀	火彡
鹈	八鳥
递	之亻
惨	心彡
惯	心貝
兹	䒑幺
举	⺍夫
誉	⺍言
鸿	氵鳥
浃	大䒑
涛	氵寸
渍	貝氵
滟	氵巴
满	氵人
滞	氵巾
潇	氵艹
沥	氵力
浇	氵兀
沤	匚氵
渐	氵斤
涟	車氵
泸	卜尸
涠	夫㇆
湿	氵业
温	氵皿
溅	氵戈
滗	氵毛
渊	氵米
潋	攵一
沦	匕氵
潴	氵耂
涤	夂氵
涣	氵𠂊
滦	氵亦
润	氵門
澜	氵四
涧	門氵
浑	氵車
觉	空⺍
滨	氵宀
浓	氵衤
泽	氵夫
浔	寸氵
滩	隹氵
涨	氵長
汤	氵彡
涩	氵止
烫	氵㇆
渗	彡氵
潍	氵糸
逦	丶之
写	冖
窍	穴丂
窥	穴見
违	之夫
祷	示寸
宝	宀丶
赛	宀貝
骞	宀馬
窃	穴刀
祯	示貝
遗	之貝
褴	衤皿
裆	衤彐
袄	衤大
鹤	冖鳥
遥	之凵
宾	宀廾
额	宀頁
裤	衤
禅	示一
迟	之丶
逊	之小
骊	馬丶
颈	㇕頁
巯	㇕丶
劲	㇕力
骤	馬亻
怼	又心
剧	尸刂
骑	馬
驱	馬匚
驶	馬乂
骒	馬木
剥	彐
骡	馬糸
骄	馬刂
属	尸厶
肃	空尹
骅	馬十
骢	馬心
驳	乂馬
屦	尸婁
驹	馬勹
骆	馬口
骝	馬田
驻	馬王
骧	馬甘
昼	尸一
尽	尸
骇	馬人
骥	馬廾
骈	馬䒑
驼	馬匕
骟	馬习
驿	馬夫
骣	馬子
骖	馬彡
骀	馬厶
骏	馬夂
陕	阝䒑
陆	阝凵
陈	阝小
贺	力貝
驾	空力
坠	阝人
阶	阝刂
弥	弓八
隐	阝心
纡	糸丁
妩	女尤
结	糸口
绫	夂糸
纬	㇆糸
纭	糸二
绩	糸貝
绑	糸阝
绁	糸廿
缚	糸寸
缃	目糸
绔	糸丂
叁	厶三
缛	糸辰
缅	糸目
参	空厶
缄	糸戊
绕	糸兀
妪	女匚
练	糸八
绰	糸十
娱	大女
缉	糸耳
织	八糸
绢	月糸
缦	四又
纱	糸丿
绡	小糸
缇	止糸
缧	糸糸
绸	糸用
纲	糸乂
缨	糸女
纳	糸人
纴	糸士
缵	糸牛
绣	糸㇆
缎	糸殳
绵	糸巾
缴	糸攵
给	空糸
绘	糸厶
纵	人糸
纶	糸匕
纷	糸刀
缓	糸爪
绥	爪糸
绷	糸月
绦	糸木
绺	卜口
络	糸夂
绚	糸日
约	糸丶
终	糸冫
绉	糸彐
绝	糸巴
娴	女門
缠	糸土
婵	女一
缯	日糸
缮	糸羊
继	糸乚
综	糸示
绽	糸止
婶	女申
缩	糸白
缝	糸丰
绾	糸㠯
纽	糸丨
绿	糸水
绍	口糸
级	糸又
纫	丶糸
缘	糸豕
缫	木糸
戬	戈一
鹂	鳥一
郦	丶阝
殚	甲一
殇	彡一
趸	一足
劢	一力
欤	一欠
叆	二又
赉	䒑貝
鼋	一黽
埯	土申
觋	工見
垆	土尸
韧	空夫
埙	土貝
垱	土彐
毂	士冖
悫	心士
玙	王一
聩	耳貝
颞	耳頁
赘	丰貝
鳌	丰魚
骜	丰馬
琐	王貝
珰	王彐
瓒	王牛
琼	王小
珲	車王
撷	扌頁
撵	車扌
抟	龴扌
挠	扌兀
掳	扌虎
掴	圍扌
揽	見扌
撄	女扌
揿	扌金
贽	貝扌
鸷	鳥扌
势	扌力
捣	扌鳥
拦	扌二
掸	八扌
擞	扌婁
择	扌夫
挦	彐扌
掼	扌母
觐	廿見
荆	刂艹
鹊	廿鳥
颟	頁艹
觏	甘見
莱	艹䒑
韩	十㇆
贲	十貝
鸪	十鳥
鹕	鳥十
赍	貝十
鹁	十冖
鞒	革刂
鞑	革大
鞲	革土
苈	厂艹
鹳	鳥艹
鹋	田鳥
萝	艹夕
蘖	辛木
荟	厶二
苍	卩艹
莸	尤艹
蓟	艹魚
荜	匕艹
藓	艹羊
薮	艹婁
荦	艹牛
莺	艹鳥
茕	乙十
荨	艹彐
荩	艹冫
荮	寸糸
莼	屮艹
酝	酉厶
酽	酉丿
椟	大冫
枥	力木
桡	木兀
桢	貝木
栌	尸卜
榄	木見
槛	木皿
樱	木女
椤	木四
桤	木己
桦	十匕
桧	厶木
栎	𠂆木
槠	木耂
栏	木二
棁	儿木
霭	雨乚
榉	夫木
雾	空雨
橼	彑豕
碛	石貝
鹩	小鳥
鹌	大鳥
砺	石力
靥	厂犬
魇	厂鬼
餍	厂食
励	厂一
硗	石兀
龚	龍
砾	石𠂆
尴	空尤
砀	石㇆
碜	石彡
赜	空臣
鸫	七
辏	車大
轲	車丁
轱	車十
轭	車卩
轼	車工
辐	車田
轶	車丶
轸	車彡
椠	車木
辂	車夂
辍	又車
匦	匚九
欧	匚
鸥	匚鳥
瓯	匚瓦
觇	卜見
鸬	卜鳥
蝾	虫艹
蛎	虫力
觑	虎見
颦	止十
蝈	虫丶
龋	齒厶
龅	齒巳
蚁	虫乂
呒	口尤
鸮	口丂
嗫	口耳
唠	冖力
呖	力厂
哓	兀口
啭	口車
踬	足貝
跶	足之
鹭	足鳥
跹	足千
跄	足人
跸	足十
跞	足𠂆
鼍	口黽
鹗	鳥口
唢	貝小
嘤	口女
呐	口冂
哕	夕山
勋	力口
哙	二厶
哝	口冖
坚	刂土
颙	冂日
颢	頁日
鳖	巾魚
旸	彡日
睐	䒑目
眍	目乂
帏	巾㇆
帼	巾丶
羁	四馬
黪	四彡
鹮	四鳥
逻	之夕
黩	四大
罴	四火
崃	䒑山
峣	山兀
岗	山乂
刿	山夕
峥	山尹
崂	山力
睑	目一
罂	貝凵
贬	貝之
赊	貝示
赡	貝言
贻	厶貝
赅	貝人
鹦	貝鳥
矫	矢刂
箦	貝竹
秽	禾山
籁	竹貝
秾	禾衤
氇	毛魚
篑	竹中
筛	巾竹
箩	竹夕
衅	丿半
筚	十竹
筝	竹尹
箪	一竹
簖	竹斤
氲	气皿
俨	亻丿
俪	冂丶
俦	寸丰
伛	匚亻
雠	空隹
魉	鬼人
偿	亻小
傥	儿亻
伧	卩亻
仪	丶亻
佥	亼一
颌	口頁
鸽	亼鳥
觎	亼見
徕	行䒑
惩	行一
径	行工
鹆	鳥八
饸	食亼
馔	廾食
馑	食丰
馇	食一
馃	食木
馒	食又
饺	食乂
饹	食夂
钲	止金
钙	金乚
镉	金丁
铻	金五
锲	大金
䦃	耂金
锚	金田
镖	金示
镡	金西
镢	金厂
钝	金屮
锷	丂金
锝	寸金
镘	日金
锟	金匕
锶	金心
铿	金土
铡	金刂
镚	金山
镯	金虫
锣	金四
铠	金己
铤	金士
锤	金千
铢	金𠂉
铧	金十
铪	亼金
铄	金木
锴	金白
镵	金獸
铯	金巴
镏	金卯
镶	金甘
镐	金亠
镞	金矢
铰	乂金
镝	亠金
镦	金攵
铳	儿金
铉	金幺
镳	金鹿
镛	金用
镒	皿金
锩	金卩
鹞	金鳥
镓	金豕
镲	示金
铊	匕金
铵	金女
铎	金夫
钮	金丨
镫	金䒑
锔	尸金
锕	金阝
镪	金弓
镠	金习
镴	巛金
䥽	丶金
腼	月目
狮	犭巾
猃	犭一
狯	犭厶
獭	犭貝
臜	月牛
狲	犭子
脍	人月
肠	月彡
鳔	魚示
鸱	空氏
鲀	魚屮
鳄	魚丂
鳀	魚止
玺	竹丶
鲥	日魚
鳢	魚曲
觞	𠂊彡
鹐	𠂊鳥
颍	匕水
毙	匕匕
颎	匕火
鲸	魚小
惫	夂
鲛	魚乂
鳙	魚广
鸲	勹鳥
鲻	魚田
证	言止
谨	言丰
谟	大日
谔	言丂
鹫	亠鳥
鹑	鳥亠
谠	儿言
谒	言乚
诈	言卜
诜	言儿
讫	言乙
诿	言女
谢	言寸
谀	臼言
讹	言亻
赟	文貝
齑	齊
谂	言心
兖	儿亠
衮	衣厶
讼	言厶
谖	言爪
谵	言言
诤	言尹
谆	言子
谇	亠言
谪	言亠
谰	言門
赣	立貝
竞	儿立
谱	日言
戆	立心
彦	立彡
谝	言冊
谧	言皿
谲	言予
谬	言习
诩	习言
盗	冫皿
癫	疒頁
廪	广示
麽	广厶
赓	广貝
鹧	广鳥
疬	疒厂
疟	疒一
酱	爿酉
闱	門㇆
阒	門犬
闳	門厶
闾	口門
阄	門𠂊
阗	門廾
闿	門己
瘿	女疒
阏	門冫
阁	門口
阍	門日
阆	門艮
阖	門皿
阙	門欠
疭	人疒
痪	疒大
痉	疒工
瘆	疒厶
怃	心尤
鹚	䒑鳥
恸	心力
羟	羊工
郸	八阝
粝	米力
粪	米廾
糁	米彡
𥻗	米一
惬	心匚
愦	心中
愠	皿心
恻	刂心
炜	火㇆
烩	火厶
𬉼	火乂
炖	火屮
㸆	火非
炽	八火
炝	火卩
烂	火二
怆	心人
怿	心夫
喾	⺍口
鲎	⺍魚
渎	十氵
滢	丶王
涝	力冖
濑	𠂊貝
濒	氵頁
溃	氵貝
灏	頁氵
滥	皿氵
鲨	氵魚
沧	氵卩
泺	氵𠂆
浏	氵文
浒	氵午
湾	氵弓
泻	一氵
泾	氵工
滪	氵予
渌	彐氵
寝	宀爿
窜	穴中
窦	穴大
祎	示夫
祢	示八
禄	示水
裢	衤車
裥	衤門
皲	冖皮
郓	冖阝
鸩	鳥冖
骠	馬示
骁	馬兀
骋	鳥
鹛	尸鳥
驸	馬寸
刭	㇕刂
颡	又頁
鹬	予丿
鹜	予鳥
骛	予馬
骚	馬虫
骎	馬又
书	空㇕
堕	阝𠂇
骘	阝馬
陨	阝貝
险	阝一
翚	习車
陉	阝工
缙	糸一
绠	乂糸
缬	糸頁
缰	糸田
缜	廾糸
缥	糸西
绮	大糸
缭	糸小
绂	糸㇕
绒	糸𠂇
辔	車糸
粜	屮米
缱	糸之
缆	糸見
缌	糸心
缳	糸衤
缈	丿糸
娇	女刂
嫒	爪女
娆	女兀
嫱	十女
媪	女皿
姹	女七
嬷	女厶
嫔	廾女
驽	女馬
纥	糸乙
缒	㠯糸
缑	糸矢
绶	冖又
绛	糸㐄
纰	匕糸
缟	亠糸
缡	厶糸
绞	糸亠
缔	巾糸
缢	糸皿
缣	糸䒑
绻	糸卩
绨	糸亻
缤	糸廾
绎	糸夫
缀	又糸
缗	糸巳
缪	糸彡
鸶	糸鳥
缁	糸巛
绌	糸凵
